Projekt;Type;Tegn.nr;Inst.nr;Inst.adresse;Tillad-uge;Tilladnr.;Tillad-start;Tillad-slut;Brønd 1;Brønd 2;Eks.profil;Eks.dim;Eks.mat;Eks.lng;Dybde brønd 1;Dybde brønd 2;Ny profil;Ny dim.mm;Ny lng.m;Foring IPO/IPA;Stik antal;Stik åbnet;Relining klar;Opmål.%;Forarb.%;Stikopm.%;Inst.%;Stikåbn.;Korthat;Langhat;Brøndskud;Råskud;Pkt.rep;Ny længde;Stramf. ø100 meter;Stramf. ø100 rest;Stramf. ø150 meter;Stramf. ø150 rest;Stramf. andet meter;Stramf. andet rest;Filt ø100 meter;Filt ø100 rest;Filt ø150 meter;Filt ø150 rest;Filt andet meter;Filt andet rest;Afvigelse;Stik-afvigelse;Bemærkninger
V165460;Strømpe Filt;2;7,0;Herslev Bygade;28-2026;20260140;01-07-2026;10-07-2026;4621007;4621006;;500;BT;10,08;2,45;2,56;Ø;500;10,62;IPO2076;2;0;;100;0;0;0;0;="1/0";="1/1";="0/0";="0/0";="0/0";6;0;0;0;0;0;0;0;0;6;0;0;0;;;
V165460;Strømpe Filt;2;7,0;Herslev Bygade;28-2026;20260140;01-07-2026;10-07-2026;4621006;4621005;;500;BT;59,91;2,56;2,94;Ø;500;59,8;IPO2076;5;0;;100;0;0;0;0;="2/0";="1/1";="0/0";="0/0";="0/0";0;0;0;0;0;0;0;0;0;0;0;0;0;;;
V165460;Strømpe Filt;2;8,0;Herslev Bygade;28-2026;20260140;01-07-2026;10-07-2026;4621005;4621004;;300;BT;60,75;2,94;2,52;Ø;300;60,83;IPO2070;4;2;TEG;100;100;100;100;100;="2/2";="2/2";="0/0";="0/0";="0/0";0;0;0;0;0;0;0;0;0;0;0;0;0;;;
V165460;Strømpe Filt;2;9,0;Herslev Bygade;28-2026;20260140;01-07-2026;10-07-2026;4621004;4621003;;200;BT;39,78;2,52;2,65;Ø;200;39,87;IPO2071;3;2;TEG;100;100;100;100;100;="3/3";="3/3";="0/0";="0/0";="0/0";0;0;0;0;0;0;0;0;0;0;0;0;0;;;
V165460;Strømpe Filt;2;9,0;Herslev Bygade;28-2026;20260140;01-07-2026;10-07-2026;4621003;4621002;;200;BT;49,35;2,65;2,42;Ø;200;49,23;IPO2071;3;2;TEG;100;100;100;100;100;="2/2";="1/1";="0/0";="0/0";="0/0";0;0;0;0;0;0;0;0;0;0;0;0;0;;;er mål igennem
V165460;Strømpe Filt;2;9,0;Herslev Bygade;28-2026;20260140;01-07-2026;10-07-2026;4621002;4621001;;200;BT;56,78;2,42;2,2;Ø;200;56,86;IPO2071;5;3;TEG;100;100;100;100;100;="3/3";="3/3";="0/0";="0/0";="0/0";0;0;0;0;0;0;0;0;0;0;0;0;0;;;Hårde aflejringer skal muligvis HT spules
V165460;Strømpe Filt;2;10,0;Herslev Kirkevej;28-2026;20260140;01-07-2026;10-07-2026;4621007;4621022;;200;BT;77,61;2,45;3,07;Ø;200;76,97;IPO2077;4;2;TEG;100;100;100;100;100;="2/0";="1/1";="0/0";="0/0";="0/0";3;0;0;0;0;0;0;0;0;3;0;0;0;;;
V165460;Strømpe Filt;2;11,0;Mølleåvej;28-2026;20260140;01-07-2026;10-07-2026;4621005;4623007;;600;BT;42,84;2,94;2,33;Ø;600;59,55;IPO2078;3;0;TEG;100;100;100;100;0;="2/0";="1/1";="0/0";="0/0";="0/0";7;0;0;0;0;0;0;0;0;7;0;0;0;;;
V165460;Strømpe Filt;2;12,0;Herslev Kirkevej;28-2026;20260140;01-07-2026;10-07-2026;4621005;4621021;;600;BT;49,58;2,94;0;;0;47,77;IPO2079;6;1;TEG;100;100;100;100;100;="1/0";="0/0";="0/0";="0/0";="2/0";0;0;0;0;0;0;0;0;0;0;0;0;0;2419;;Fritlægning af 4621021 er prblematisk. der er afsat dæksel med pæl. og det er den som er målt.
V165460;Strømpe Filt;2;12,0;Herslev Kirkevej;28-2026;20260140;01-07-2026;10-07-2026;4621021;4621017;;600;BT;59,59;0;3,11;;600;59,37;IPO2079;7;5;TEG;100;100;100;100;100;="5/1";="3/3";="0/0";="0/0";="0/0";0;0;0;0;0;0;0;0;0;0;0;0;0;;;Rødder nør 4621021/ er opmålt i medstrøm med målebånd / 61.50 til midt br stik kl 2-3
